image_name,type,cellprob_threshold,channel_axis,channel_nuclei,channel_segment,diameter,do_3D,flow_threshold,interp,invert,max_size_fraction,min_size,model_name,niter,norm3D,normalize,percentile_max,percentile_min,sharpen_radius,smooth_radius,stitch_threshold,tile_norm_blocksize,tile_norm_smooth3D,tile_overlap,duration,are,precision,recall,f1,jaccard,jaccard_cellpose
P013T_60xOil_Hoechst_SiRActin_C_004_cropped_isotropic,Nuclei,0.1,,0,0,30.0,True,0.5,False,False,0.5,15,cyto3,100,True,True,99.0,1.0,0,0,0.0,0,1,0.1,260.23708939552307,0.11683131006749614,0.797183559531367,0.9899453247781665,0.8831686899325037,0.7925006025767234,0.3766570418594326
P013T_60xOil_Hoechst_SiRActin_C_004_cropped_isotropic,Nuclei,0.1,,0,0,30.0,True,0.5,False,False,0.5,15,cyto3,100,True,True,99.0,1.0,0,1,0.0,0,1,0.1,651.3280630111694,0.16102033372159708,0.7341420453831353,0.9787476843782487,0.838979666278403,0.7472877645419433,0.27327992821596603
P013T_60xOil_Hoechst_SiRActin_C_004_cropped_isotropic,Nuclei,0.1,,0,0,30.0,True,0.5,False,False,0.5,15,cyto3,100,True,True,99.0,1.0,0,2,0.0,0,1,0.1,630.2361946105957,0.12553318109137734,0.7836600323698096,0.989076257830526,0.8744668189086225,0.7543333859522243,0.2524510900962324
P013T_60xOil_Hoechst_SiRActin_C_004_cropped_isotropic,Nuclei,0.1,,0,0,30.0,True,0.5,False,False,0.5,15,cyto3,100,True,True,99.0,1.0,0,3,0.0,0,1,0.1,619.965877532959,0.01799003653442488,0.9664427988711327,0.9980868405918668,0.982009963465575,0.7180758913014507,0.23083735244284737
P013T_60xOil_Hoechst_SiRActin_C_004_cropped_isotropic,Nuclei,0.1,,0,0,30.0,True,0.5,False,False,0.5,15,cyto3,100,True,True,99.0,1.0,0,5,0.0,0,1,0.1,609.7242817878723,0.003861057819924296,0.9929508617396932,0.9993475605858908,0.9961389421800757,0.5811450150594931,0.17459898946460461
P013T_60xOil_Hoechst_SiRActin_C_004_cropped_isotropic,Nuclei,0.1,,0,0,30.0,True,0.5,False,False,0.5,15,cyto3,100,True,True,99.0,1.0,0,10,0.0,0,1,0.1,653.6739342212677,0.524357275875629,0.615905596001417,0.38741501124408634,0.475642724124371,0.4255884109427899,0.20913571967916866
P013T_60xOil_Hoechst_SiRActin_C_004_cropped_isotropic,Nuclei,0.1,,0,0,30.0,True,0.5,False,False,0.5,15,cyto3,100,True,True,99.0,1.0,0,20,0.0,0,1,0.1,571.6439244747162,0.7745447138459753,0.9688679629257353,0.12757044538299844,0.22545528615402471,0.009534732023999987,0.007293678214070284
P013T_60xOil_Hoechst_SiRActin_C_004_cropped_isotropic,Nuclei,0.1,,0,0,30.0,True,0.5,False,False,0.5,15,cyto3,100,True,True,99.0,1.0,0,30,0.0,0,1,0.1,568.2044742107391,0.7743259891548062,0.9802189850811164,0.12751587827369268,0.22567401084519378,0.007359517356484589,0.006646506084658229
P013T_60xOil_Hoechst_SiRActin_C_004_cropped_isotropic,Nuclei,0.1,,0,0,30.0,True,0.5,False,False,0.5,15,cyto3,100,True,True,99.0,1.0,0,40,0.0,0,1,0.1,571.7147872447968,0.7732727616038209,0.9668106294493254,0.12842174231917983,0.22672723839617917,0.019022670402696198,0.018053945943518595
P013T_60xOil_Hoechst_SiRActin_C_004_cropped_isotropic,Nuclei,0.1,,0,0,30.0,True,0.5,False,False,0.5,15,cyto3,100,True,True,99.0,1.0,0,50,0.0,0,1,0.1,558.271009683609,0.7741841300211854,0.9900502906997231,0.127441723832894,0.22581586997881464,0.00567388830536707,0.004160637717108436
